CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_CreditScore_interaction,Balance_EstimatedSalary_interaction,Age_Activity_interaction,Balance_Exited_interaction
720,Spain,Male,21,2,123200.78,1,1,1,180712.28,0,15120,22263893851.5784,21,0.0
501,France,Male,40,4,125832.2,1,1,1,100433.83,0,20040,12637809783.326,40,0.0
634,Spain,Male,35,3,0.0,2,1,1,19515.48,0,22190,0.0,35,0.0
740,Germany,Female,36,4,109044.6,1,0,0,94554.74,1,26640,10310683801.404001,0,109044.6
584,France,Male,35,9,0.0,2,1,0,192381.21,0,20440,0.0,0,0.0
577,Spain,Male,28,7,0.0,1,1,0,143274.41,0,16156,0.0,0,0.0
523,France,Female,28,2,121164.11,1,1,1,59938.81,0,14644,7262432568.109099,28,0.0
507,Spain,Female,34,4,0.0,2,1,1,60688.38,0,17238,0.0,34,0.0
850,Germany,Male,29,1,154640.41,1,1,1,164039.51,0,24650,25367137082.599102,29,0.0
594,France,Female,49,4,0.0,2,1,1,23631.55,0,29106,0.0,49,0.0
602,France,Male,49,0,191808.73,1,0,0,97640.2,0,29498,18728242758.946,0,0.0
660,Spain,Male,30,4,0.0,2,1,0,129149.06,0,19800,0.0,0,0.0
666,Germany,Female,21,1,121827.43,2,1,1,99818.31,0,13986,12160608174.2433,21,0.0
690,France,Male,38,1,94456.0,2,0,1,55034.02,0,26220,5198293393.12,38,0.0
617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0,25914,8470943449.385099,42,0.0
508,France,Female,60,7,143262.04,1,1,1,129562.74,0,30480,18561422440.389603,60,0.0
770,France,Female,33,6,0.0,2,1,1,126131.9,0,25410,0.0,33,0.0
701,Germany,Male,41,9,164046.1,1,1,0,49405.93,0,28741,8104850133.373,0,0.0
681,Germany,Female,44,3,105206.7,2,1,1,163558.36,0,29964,17207435313.011997,44,0.0
520,France,Male,34,3,0.0,2,1,1,104703.96,0,17680,0.0,34,0.0
497,France,Male,34,2,0.0,2,1,1,83087.13,0,16898,0.0,34,0.0
797,France,Male,31,9,0.0,2,1,1,24748.89,0,24707,0.0,31,0.0
598,France,Male,47,2,0.0,2,1,1,186116.54,0,28106,0.0,47,0.0
755,Germany,Female,33,6,90560.3,2,1,1,42607.69,0,24915,3858565188.7070003,33,0.0
580,Germany,Female,38,1,128218.47,1,1,0,125953.83,1,22040,16149607373.2401,0,128218.47
602,France,Male,35,8,0.0,1,1,1,22499.29,0,21070,0.0,35,0.0
665,Spain,Female,40,1,173432.55,1,0,1,116766.79,0,26600,20251162145.014496,40,0.0
560,Spain,Female,28,1,0.0,2,1,1,120880.72,0,15680,0.0,28,0.0
719,France,Male,36,3,155423.17,1,1,1,199841.32,0,25884,31059971451.384403,36,0.0
789,France,Female,53,1,158271.74,1,1,1,5036.39,1,41817,797118208.6186,53,158271.74
455,Germany,Female,37,6,170057.62,1,0,1,54398.56,0,16835,9250889645.027199,37,0.0
539,Germany,Female,38,8,105435.74,1,0,0,80575.44,1,20482,8495531142.2256,0,105435.74
578,France,Male,46,5,113226.47,1,1,0,56770.76,0,26588,6427952754.0172,0,0.0
642,Spain,Male,26,8,144238.7,1,1,1,184399.76,0,16692,26597581662.712,26,0.0
628,Germany,Female,28,3,153538.13,2,1,0,110776.01,0,17584,17008341424.2613,0,0.0
553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1,25991,16978639707.9485,0,116528.15
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,21060,12622392280.332901,0,0.0
502,Germany,Female,40,7,117304.29,1,0,0,196278.32,0,20080,23024288969.992798,0,0.0
646,France,Female,37,7,96558.66,1,0,0,163427.18,0,23902,15780309508.3788,0,0.0
454,Germany,Female,50,10,92895.56,1,1,0,154344.0,1,22700,14337872312.64,0,92895.56
570,Spain,Male,21,7,116099.82,1,1,1,148087.62,0,11970,17192946026.2284,21,0.0
528,France,Male,31,9,120962.59,1,1,0,5419.31,0,16368,655533773.6129,0,0.0
850,Germany,Female,31,1,130089.56,2,1,1,4466.21,0,26350,581007293.7675999,31,0.0
788,France,Female,39,3,135139.33,1,0,1,113086.08,0,30732,15282377083.5264,39,0.0
645,France,Female,55,7,0.0,2,1,1,18369.33,0,35475,0.0,55,0.0
554,France,Female,43,10,0.0,2,1,0,149629.13,1,23822,0.0,0,0.0
579,France,Female,29,10,73194.52,2,1,1,129209.09,0,16791,9457397322.1868,29,0.0
845,Spain,Female,52,0,0.0,1,1,0,31726.76,1,43940,0.0,0,0.0
635,France,Female,72,4,74812.84,1,0,1,27448.33,0,45720,2053487520.5572,72,0.0
793,Spain,Male,63,0,0.0,2,0,1,27166.75,0,49959,0.0,63,0.0
523,France,Male,22,8,123374.46,1,1,1,124906.59,0,11506,15410283091.6914,22,0.0
532,France,Male,60,5,76705.87,2,0,1,13889.73,0,31920,1065423823.7150999,60,0.0
558,France,Male,32,10,105000.23,1,1,0,190019.61,0,17856,19952102754.510296,0,0.0
674,Spain,Female,41,4,126605.14,1,1,1,166694.93,0,27634,21104434949.9402,41,0.0
702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0,30186,7153375886.4414,0,0.0
783,Spain,Female,37,1,136689.66,1,1,0,197890.65,0,28971,27049605665.679,0,0.0
738,Germany,Female,40,1,115409.18,2,0,0,180456.8,0,29520,20826371313.423996,0,0.0
515,France,Male,41,8,0.0,2,1,1,185054.14,0,21115,0.0,41,0.0
833,France,Female,34,3,144751.81,1,0,0,166472.81,0,28322,24097240563.2861,0,0.0
506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0,20746,233030704.6496,0,0.0
754,Spain,Male,39,7,157691.98,2,1,0,133600.89,1,29406,21067788873.862206,0,157691.98
588,Spain,Male,37,2,0.0,2,0,1,187816.59,0,21756,0.0,37,0.0
741,Spain,Male,43,0,0.0,2,1,1,2920.63,1,31863,0.0,43,0.0
607,Germany,Female,24,2,109483.54,2,0,1,127560.77,0,14568,13965804664.7258,24,0.0
753,France,Male,48,4,0.0,2,0,1,146821.42,0,36144,0.0,48,0.0
606,Spain,Male,37,8,154712.58,2,1,0,89099.18,0,22422,13784764013.684399,0,0.0
731,Germany,Male,37,3,116880.53,1,0,0,172718.35,1,27047,20187412288.725502,0,116880.53
850,France,Male,19,8,0.0,1,1,1,68569.89,0,16150,0.0,19,0.0
643,Spain,Female,34,8,117451.47,1,1,0,65374.86,0,21862,7678373408.0442,0,0.0
667,Spain,Male,71,4,137260.78,1,0,1,94433.08,1,47357,12961958218.6024,71,137260.78
597,France,Female,36,9,0.0,2,1,1,7156.09,0,21492,0.0,36,0.0
633,France,Female,29,7,169988.35,1,1,0,4272.0,0,18357,726190231.2,0,0.0
509,France,Male,55,8,132387.91,2,1,1,170360.11,0,27995,22553618910.2701,55,0.0
641,Spain,Male,31,3,153316.14,1,1,0,59927.99,0,19871,9187928104.7586,0,0.0
488,Germany,Female,28,7,139246.22,2,1,0,106799.49,0,13664,14871425280.427801,0,0.0
643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0,21862,1775774598.6392,34,0.0
627,France,Female,35,7,0.0,2,0,1,193022.44,0,21945,0.0,35,0.0
530,France,Female,34,8,0.0,2,0,1,141872.52,0,18020,0.0,34,0.0
462,France,Male,39,4,140133.08,2,0,0,131304.45,0,18018,18400096996.206,0,0.0
506,Germany,Male,28,8,53053.76,1,0,1,24577.34,0,14168,1303920297.7984002,28,0.0
798,France,Male,28,3,0.0,2,1,0,2305.27,0,22344,0.0,0,0.0
732,France,Male,25,0,110942.9,1,0,0,172576.56,0,18300,19146144038.424,0,0.0
572,Germany,Male,47,4,99353.42,1,1,0,196549.85,1,26884,19527899797.987,0,99353.42
640,France,Female,29,3,0.0,2,1,0,2743.69,0,18560,0.0,0,0.0
552,France,Female,34,5,0.0,2,1,1,1351.41,0,18768,0.0,34,0.0
850,France,Female,39,2,0.0,2,1,0,179451.42,0,33150,0.0,0,0.0
556,France,Female,40,8,0.0,2,1,0,62112.7,0,22240,0.0,0,0.0
568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1,22720,13363535323.672201,0,99282.63
543,France,Female,42,5,0.0,2,0,0,101905.34,0,22806,0.0,0,0.0
687,Germany,Male,38,4,117633.28,1,0,1,88396.6,0,26106,10398381998.848001,38,0.0
706,Germany,Male,23,2,93301.97,2,0,1,127187.04,0,16238,11866801390.4688,23,0.0
644,Germany,Male,35,5,161591.11,3,1,1,63795.62,0,22540,10308805048.9382,35,0.0
628,France,Female,46,1,46870.43,4,1,0,31272.14,1,28888,1465738648.8202,0,46870.43
704,Spain,Male,38,6,106687.76,1,1,0,173776.5,0,26752,18539825525.64,0,0.0
677,France,Female,58,1,90022.85,1,0,1,2988.28,0,39266,269013482.198,58,0.0
537,Germany,Female,46,5,100727.5,1,0,1,140857.76,1,24702,14188250020.400002,46,100727.5
602,Spain,Male,30,9,113672.18,2,0,0,102135.92,0,18060,11610012682.705599,0,0.0
591,France,Male,49,3,0.0,2,1,0,50123.44,0,28959,0.0,0,0.0
705,Spain,Female,46,5,89364.91,1,0,1,139162.15,0,32430,12436213010.1565,46,0.0
733,Spain,Female,38,5,0.0,2,1,1,1271.51,0,27854,0.0,38,0.0
779,France,Male,71,3,0.0,2,1,1,146895.36,1,55309,0.0,71,0.0
590,Spain,Female,34,6,0.0,2,1,0,171021.44,0,20060,0.0,0,0.0
663,France,Male,22,6,0.0,2,0,1,131827.15,0,14586,0.0,22,0.0
736,France,Female,63,10,0.0,2,0,1,502.7,0,46368,0.0,63,0.0
672,Germany,Male,68,0,126061.51,2,1,1,184936.77,0,45696,23313408480.7227,68,0.0
554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1,25484,8491326136.954001,46,87603.35
542,France,Female,43,8,145618.37,1,0,1,10350.74,0,23306,1507257887.0937998,43,0.0
644,France,Male,33,2,0.0,1,1,0,96420.58,0,21252,0.0,0,0.0
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,22225,0.0,35,0.0
723,France,Male,30,3,124119.54,1,1,0,162198.32,0,21690,20131980867.1728,0,0.0
824,Germany,Male,77,3,27517.15,2,0,1,2746.41,0,63448,75573375.9315,77,0.0
646,France,Male,38,7,0.0,2,1,0,1528.4,0,24548,0.0,0,0.0
537,Germany,Female,47,4,124192.28,2,1,1,50881.51,0,25239,6319090736.7428,47,0.0
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,23606,19152829267.632,29,0.0
571,France,Female,35,8,0.0,2,0,0,84569.13,0,19985,0.0,0,0.0
629,France,Male,39,2,129669.32,2,1,0,82774.07,0,24531,10733257370.532402,0,0.0
696,Spain,Male,41,9,127523.75,1,0,1,191417.42,0,28536,24410267213.725002,41,0.0
423,France,Female,36,5,97665.61,1,1,0,118372.55,1,15228,11560927303.0055,0,97665.61
615,Spain,Male,61,9,0.0,2,1,0,150227.85,1,37515,0.0,0,0.0
663,France,Female,27,9,0.0,2,1,0,150850.29,0,17901,0.0,0,0.0
694,Spain,Male,38,7,121527.4,1,1,0,113481.02,0,26372,13791053309.948,0,0.0
585,France,Male,42,2,0.0,2,1,1,18657.77,0,24570,0.0,42,0.0
559,France,Male,28,3,141099.43,1,1,1,15607.27,0,15652,2202176900.8561,28,0.0
430,France,Female,60,7,73937.02,1,1,0,161937.62,1,25800,11973185048.6924,0,73937.02
707,France,Male,40,1,0.0,2,1,0,14090.4,1,28280,0.0,0,0.0
421,Spain,Male,34,6,90723.36,1,1,1,12162.76,0,14314,1103446454.0736,34,0.0
510,Germany,Female,50,7,123936.54,1,1,1,23768.01,0,25500,2945724922.0853996,50,0.0
427,France,Male,33,8,0.0,1,1,1,13858.95,0,14091,0.0,33,0.0
736,France,Female,36,6,0.0,1,1,0,70496.66,0,26496,0.0,0,0.0
661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1,27101,1954187741.0965002,0,28082.95
684,France,Male,60,2,116563.58,1,1,0,120257.7,1,41040,14017668034.566,0,116563.58
584,France,Male,35,6,161613.94,2,1,1,148238.16,0,20440,23957353095.9504,35,0.0
850,France,Female,40,9,99816.46,1,1,1,163989.66,1,34000,16368867337.803602,40,99816.46
758,Germany,Male,33,0,129142.54,2,1,1,26606.28,0,25014,3436002579.1512,33,0.0
698,Germany,Female,64,1,169362.43,1,1,0,84760.32,1,44672,14355213762.777601,0,169362.43
507,Germany,Female,46,8,102785.16,1,1,1,70323.68,0,23322,7228230700.588799,46,0.0
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,23715,22213008688.548,0,122522.32
588,France,Male,32,1,0.0,2,1,1,8763.87,0,18816,0.0,32,0.0
673,France,Male,41,5,0.0,1,1,1,65657.29,0,27593,0.0,41,0.0
485,France,Female,27,3,0.0,2,1,0,141449.86,0,13095,0.0,0,0.0
820,Spain,Female,31,2,94222.53,1,1,0,103570.8,0,25420,9758702810.124,0,0.0
634,Spain,Male,52,1,0.0,2,1,1,176913.42,0,32968,0.0,52,0.0
595,Germany,Female,26,8,118547.72,1,1,1,151192.18,0,15470,17923488220.829597,26,0.0
553,France,Male,37,1,0.0,1,1,0,30461.55,0,20461,0.0,0,0.0
680,France,Male,34,9,0.0,2,1,1,95686.6,0,23120,0.0,34,0.0
705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0,31020,8735787701.6024,0,0.0
711,Germany,Male,34,4,133467.77,2,1,1,42976.64,0,24174,5735996302.892799,34,0.0
607,France,Female,48,4,112070.86,3,1,0,173568.3,1,29136,19451948649.738,0,112070.86
796,Germany,Female,40,1,99745.95,1,1,0,177524.19,0,31840,17707318979.5305,0,0.0
747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0,30627,18424714871.626198,0,0.0
580,Germany,Female,36,6,145387.32,2,1,1,169963.2,1,20880,24710494146.624004,36,145387.32
610,France,Male,34,0,103108.17,1,0,0,125646.82,0,20740,12955213676.5194,0,0.0
